MAGNITUDE,PLACE,REGISTERED_AT,UPDATED_AT,TZ,URL,DETAIL,FELT,CDI,MMI,ALERT,STATUS,TSUNAMI,SIG,NET,ID,IDS,SOURCES,TYPES,NST,DMIN,RMS,GAP,MAGTYPE,TYPE,TITLE,GEO_TYPE,LATITUDE,LONGITUDE,ALTITUDE,RN
0.4,"26 km NW of Furnace Creek, California",2024-10-14 07:33:55.508 Z,2024-10-14 07:35:52.749 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886004,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886004.geojson,,,,,automatic,0,2,nn,00886004,",nn00886004,",",nn,",",origin,phase-data,",8,0.37,0.1296,261,ml,earthquake,"M 0.4 - 26 km NW of Furnace Creek, California",Point,-117.0742,36.612,0,1
0.4,"26 km NW of Furnace Creek, California",2024-10-14 07:33:55.508 Z,2024-10-14 07:35:52.749 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886004,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886004.geojson,,,,,automatic,0,2,nn,00886004,",nn00886004,",",nn,",",origin,phase-data,",8,0.37,0.1296,261,ml,earthquake,"M 0.4 - 26 km NW of Furnace Creek, California",Point,-117.0742,36.612,0,2
1.3,"17 km WSW of Alamo, Nevada",2024-10-14 07:35:11.632 Z,2024-10-14 07:37:36.475 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886005,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886005.geojson,,,,,automatic,0,26,nn,00886005,",nn00886005,",",nn,",",origin,phase-data,",26,0.546,0.3696,265,ml,earthquake,"M 1.3 - 17 km WSW of Alamo, Nevada",Point,-115.3473,37.2971,0.7,1
1.3,"17 km WSW of Alamo, Nevada",2024-10-14 07:35:11.632 Z,2024-10-14 07:37:36.475 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886005,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886005.geojson,,,,,automatic,0,26,nn,00886005,",nn00886005,",",nn,",",origin,phase-data,",26,0.546,0.3696,265,ml,earthquake,"M 1.3 - 17 km WSW of Alamo, Nevada",Point,-115.3473,37.2971,0.7,2
0.9,"50 km E of Big Pine, California",2024-10-14 09:42:44.752 Z,2024-10-14 09:45:24.320 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886015,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886015.geojson,,,,,automatic,0,12,nn,00886015,",nn00886015,",",nn,",",origin,phase-data,",12,0.151,0.2285,277,ml,earthquake,"M 0.9 - 50 km E of Big Pine, California",Point,-117.7292,37.0968,4.1,1
0.9,"50 km E of Big Pine, California",2024-10-14 09:42:44.752 Z,2024-10-14 09:45:24.320 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886015,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886015.geojson,,,,,automatic,0,12,nn,00886015,",nn00886015,",",nn,",",origin,phase-data,",12,0.151,0.2285,277,ml,earthquake,"M 0.9 - 50 km E of Big Pine, California",Point,-117.7292,37.0968,4.1,2
1,"30 km SW of Beatty, Nevada",2024-10-14 10:00:14.927 Z,2024-10-14 10:02:44.946 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886017,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886017.geojson,,,,,automatic,0,15,nn,00886017,",nn00886017,",",nn,",",origin,phase-data,",13,0.263,0.2383,258,ml,earthquake,"M 1.0 - 30 km SW of Beatty, Nevada",Point,-117.0094,36.7179,0,1
1,"30 km SW of Beatty, Nevada",2024-10-14 10:00:14.927 Z,2024-10-14 10:02:44.946 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886017,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886017.geojson,,,,,automatic,0,15,nn,00886017,",nn00886017,",",nn,",",origin,phase-data,",13,0.263,0.2383,258,ml,earthquake,"M 1.0 - 30 km SW of Beatty, Nevada",Point,-117.0094,36.7179,0,2
1.9,"71 km NNW of Rachel, Nevada",2024-10-15 13:32:42.192 Z,2024-10-15 13:35:22.207 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886053,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886053.geojson,,,,,automatic,0,56,nn,00886053,",nn00886053,",",nn,",",origin,phase-data,",12,1.069,0.2018,127,ml,earthquake,"M 1.9 - 71 km NNW of Rachel, Nevada",Point,-115.9649,38.2664,6.5,1
1.9,"71 km NNW of Rachel, Nevada",2024-10-15 13:32:42.192 Z,2024-10-15 13:35:22.207 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886053,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886053.geojson,,,,,automatic,0,56,nn,00886053,",nn00886053,",",nn,",",origin,phase-data,",12,1.069,0.2018,127,ml,earthquake,"M 1.9 - 71 km NNW of Rachel, Nevada",Point,-115.9649,38.2664,6.5,2
1.5,"53 km ESE of Goldfield, Nevada",2024-10-15 14:06:24.910 Z,2024-10-15 14:09:05.280 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886055,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886055.geojson,,,,,automatic,0,35,nn,00886055,",nn00886055,",",nn,",",origin,phase-data,",24,0.349,0.3058,176,ml,earthquake,"M 1.5 - 53 km ESE of Goldfield, Nevada",Point,-116.6898,37.4925,0,1
1.2,"18 km SSE of Dyer, Nevada",2024-10-15 14:36:06.391 Z,2024-10-15 14:39:11.407 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886058,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886058.geojson,,,,,automatic,0,22,nn,00886058,",nn00886058,",",nn,",",origin,phase-data,",8,0.144,0.1327,206,ml,earthquake,"M 1.2 - 18 km SSE of Dyer, Nevada",Point,-117.9865,37.5112,5.5,1
0.4,"40 km NW of Indian Springs, Nevada",2024-10-15 15:05:46.103 Z,2024-10-15 15:07:32.200 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886062,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886062.geojson,,,,,automatic,0,2,nn,00886062,",nn00886062,",",nn,",",origin,phase-data,",10,0.087,0.3838,188,ml,earthquake,"M 0.4 - 40 km NW of Indian Springs, Nevada",Point,-115.949,36.8629,0,1
0.4,"40 km NW of Indian Springs, Nevada",2024-10-15 15:05:46.103 Z,2024-10-15 15:07:32.200 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00886062,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/nn00886062.geojson,,,,,automatic,0,2,nn,00886062,",nn00886062,",",nn,",",origin,phase-data,",10,0.087,0.3838,188,ml,earthquake,"M 0.4 - 40 km NW of Indian Springs, Nevada",Point,-115.949,36.8629,0,2
3.2,"110 km SSW of Kaktovik, Alaska",2024-10-13 22:11:01.416 Z,2024-10-13 22:15:08.086 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d70ehzk,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d70ehzk.geojson,,,,,automatic,0,158,ak,024d70ehzk,",ak024d70ehzk,",",ak,",",origin,phase-data,",,,0.9,,ml,earthquake,"M 3.2 - 110 km SSW of Kaktovik, Alaska",Point,-144.9725,69.2581,0,1
1.4,"7 km ESE of Fox, Alaska",2024-10-13 23:35:52.611 Z,2024-10-13 23:37:46.147 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d7156rh,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d7156rh.geojson,,,,,automatic,0,30,ak,024d7156rh,",ak024d7156rh,",",ak,",",origin,phase-data,",,,0.71,,ml,earthquake,"M 1.4 - 7 km ESE of Fox, Alaska",Point,-147.4691,64.9402,6.5,1
1.4,"7 km ESE of Fox, Alaska",2024-10-13 23:35:52.611 Z,2024-10-13 23:37:46.147 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d7156rh,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d7156rh.geojson,,,,,automatic,0,30,ak,024d7156rh,",ak024d7156rh,",",ak,",",origin,phase-data,",,,0.71,,ml,earthquake,"M 1.4 - 7 km ESE of Fox, Alaska",Point,-147.4691,64.9402,6.5,2
2,"19 km ENE of Skwentna, Alaska",2024-10-13 23:39:03.187 Z,2024-10-13 23:47:14.751 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d715xta,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d715xta.geojson,1,2.2,,,automatic,0,62,ak,024d715xta,",ak024d715xta,",",ak,",",dyfi,origin,phase-data,",,,0.57,,ml,earthquake,"M 2.0 - 19 km ENE of Skwentna, Alaska",Point,-151.0302,62.0354,64.1,1
2,"19 km ENE of Skwentna, Alaska",2024-10-13 23:39:03.187 Z,2024-10-13 23:47:14.751 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d715xta,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d715xta.geojson,1,2.2,,,automatic,0,62,ak,024d715xta,",ak024d715xta,",",ak,",",dyfi,origin,phase-data,",,,0.57,,ml,earthquake,"M 2.0 - 19 km ENE of Skwentna, Alaska",Point,-151.0302,62.0354,64.1,2
1.1,"17 km SW of Salcha, Alaska",2024-10-14 00:25:40.369 Z,2024-10-14 00:27:55.309 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8axci7,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8axci7.geojson,,,,,automatic,0,19,ak,024d8axci7,",ak024d8axci7,",",ak,",",origin,phase-data,",,,0.24,,ml,earthquake,"M 1.1 - 17 km SW of Salcha, Alaska",Point,-147.1667,64.4131,14.5,1
1.1,"17 km SW of Salcha, Alaska",2024-10-14 00:25:40.369 Z,2024-10-14 00:27:55.309 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8axci7,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8axci7.geojson,,,,,automatic,0,19,ak,024d8axci7,",ak024d8axci7,",",ak,",",origin,phase-data,",,,0.24,,ml,earthquake,"M 1.1 - 17 km SW of Salcha, Alaska",Point,-147.1667,64.4131,14.5,2
2,"52 km W of Cantwell, Alaska",2024-10-14 02:20:56.654 Z,2024-10-14 02:23:11.601 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8c384h,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8c384h.geojson,,,,,automatic,0,62,ak,024d8c384h,",ak024d8c384h,",",ak,",",origin,phase-data,",,,0.65,,ml,earthquake,"M 2.0 - 52 km W of Cantwell, Alaska",Point,-149.9858,63.4491,0,1
2,"52 km W of Cantwell, Alaska",2024-10-14 02:20:56.654 Z,2024-10-14 02:23:11.601 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8c384h,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8c384h.geojson,,,,,automatic,0,62,ak,024d8c384h,",ak024d8c384h,",",ak,",",origin,phase-data,",,,0.65,,ml,earthquake,"M 2.0 - 52 km W of Cantwell, Alaska",Point,-149.9858,63.4491,0,2
1.6,"45 km W of Cantwell, Alaska",2024-10-14 02:26:31.261 Z,2024-10-14 02:28:25.917 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8c4ggm,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8c4ggm.geojson,,,,,automatic,0,39,ak,024d8c4ggm,",ak024d8c4ggm,",",ak,",",origin,phase-data,",,,0.74,,ml,earthquake,"M 1.6 - 45 km W of Cantwell, Alaska",Point,-149.863,63.4129,0,1
1.6,"45 km W of Cantwell, Alaska",2024-10-14 02:26:31.261 Z,2024-10-14 02:28:25.917 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8c4ggm,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8c4ggm.geojson,,,,,automatic,0,39,ak,024d8c4ggm,",ak024d8c4ggm,",",ak,",",origin,phase-data,",,,0.74,,ml,earthquake,"M 1.6 - 45 km W of Cantwell, Alaska",Point,-149.863,63.4129,0,2
0.9,"68 km SE of King Salmon, Alaska",2024-10-14 03:08:59.035 Z,2024-10-14 03:10:50.012 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8cm3bj,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8cm3bj.geojson,,,,,automatic,0,12,ak,024d8cm3bj,",ak024d8cm3bj,",",ak,",",origin,phase-data,",,,0.24,,ml,earthquake,"M 0.9 - 68 km SE of King Salmon, Alaska",Point,-155.7481,58.2961,82.6,1
0.9,"68 km SE of King Salmon, Alaska",2024-10-14 03:08:59.035 Z,2024-10-14 03:10:50.012 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8cm3bj,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8cm3bj.geojson,,,,,automatic,0,12,ak,024d8cm3bj,",ak024d8cm3bj,",",ak,",",origin,phase-data,",,,0.24,,ml,earthquake,"M 0.9 - 68 km SE of King Salmon, Alaska",Point,-155.7481,58.2961,82.6,2
1.4,"59 km N of Lake Minchumina, Alaska",2024-10-14 03:38:30.872 Z,2024-10-14 03:40:59.419 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8csgmj,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8csgmj.geojson,,,,,automatic,0,30,ak,024d8csgmj,",ak024d8csgmj,",",ak,",",origin,phase-data,",,,0.58,,ml,earthquake,"M 1.4 - 59 km N of Lake Minchumina, Alaska",Point,-152.1878,64.4167,14.8,1
1.4,"59 km N of Lake Minchumina, Alaska",2024-10-14 03:38:30.872 Z,2024-10-14 03:40:59.419 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8csgmj,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8csgmj.geojson,,,,,automatic,0,30,ak,024d8csgmj,",ak024d8csgmj,",",ak,",",origin,phase-data,",,,0.58,,ml,earthquake,"M 1.4 - 59 km N of Lake Minchumina, Alaska",Point,-152.1878,64.4167,14.8,2
1.5,"48 km NNE of Chase, Alaska",2024-10-14 03:44:07.806 Z,2024-10-14 03:45:50.410 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8ctp58,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8ctp58.geojson,,,,,automatic,0,35,ak,024d8ctp58,",ak024d8ctp58,",",ak,",",origin,phase-data,",,,0.53,,ml,earthquake,"M 1.5 - 48 km NNE of Chase, Alaska",Point,-149.7861,62.8565,76.7,1
1.5,"48 km NNE of Chase, Alaska",2024-10-14 03:44:07.806 Z,2024-10-14 03:45:50.410 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8ctp58,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8ctp58.geojson,,,,,automatic,0,35,ak,024d8ctp58,",ak024d8ctp58,",",ak,",",origin,phase-data,",,,0.53,,ml,earthquake,"M 1.5 - 48 km NNE of Chase, Alaska",Point,-149.7861,62.8565,76.7,2
1.6,"53 km S of Glacier View, Alaska",2024-10-14 03:53:15.208 Z,2024-10-14 03:55:42.344 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8cvn5s,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8cvn5s.geojson,,,,,automatic,0,39,ak,024d8cvn5s,",ak024d8cvn5s,",",ak,",",origin,phase-data,",,,0.97,,ml,earthquake,"M 1.6 - 53 km S of Glacier View, Alaska",Point,-147.8498,61.336,3.2,1
1.6,"53 km S of Glacier View, Alaska",2024-10-14 03:53:15.208 Z,2024-10-14 03:55:42.344 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8cvn5s,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8cvn5s.geojson,,,,,automatic,0,39,ak,024d8cvn5s,",ak024d8cvn5s,",",ak,",",origin,phase-data,",,,0.97,,ml,earthquake,"M 1.6 - 53 km S of Glacier View, Alaska",Point,-147.8498,61.336,3.2,2
1.9,"14 km SW of Karluk, Alaska",2024-10-14 04:16:11.772 Z,2024-10-14 04:18:04.827 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8d9509,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8d9509.geojson,,,,,automatic,0,56,ak,024d8d9509,",ak024d8d9509,",",ak,",",origin,phase-data,",,,0.7,,ml,earthquake,"M 1.9 - 14 km SW of Karluk, Alaska",Point,-154.6491,57.496,64.5,1
1.9,"14 km SW of Karluk, Alaska",2024-10-14 04:16:11.772 Z,2024-10-14 04:18:04.827 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8d9509,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8d9509.geojson,,,,,automatic,0,56,ak,024d8d9509,",ak024d8d9509,",",ak,",",origin,phase-data,",,,0.7,,ml,earthquake,"M 1.9 - 14 km SW of Karluk, Alaska",Point,-154.6491,57.496,64.5,2
2.4,"26 km N of Beluga, Alaska",2024-10-14 04:53:07.381 Z,2024-10-14 04:55:01.466 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8dh25u,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8dh25u.geojson,,,,,automatic,0,89,ak,024d8dh25u,",ak024d8dh25u,",",ak,",",origin,phase-data,",,,0.34,,ml,earthquake,"M 2.4 - 26 km N of Beluga, Alaska",Point,-151.0164,61.3809,56.2,1
2.4,"26 km N of Beluga, Alaska",2024-10-14 04:53:07.381 Z,2024-10-14 04:55:01.466 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8dh25u,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8dh25u.geojson,,,,,automatic,0,89,ak,024d8dh25u,",ak024d8dh25u,",",ak,",",origin,phase-data,",,,0.34,,ml,earthquake,"M 2.4 - 26 km N of Beluga, Alaska",Point,-151.0164,61.3809,56.2,2
2,"72 km WNW of Ninilchik, Alaska",2024-10-14 05:18:24.247 Z,2024-10-14 05:20:37.812 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8dv108,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8dv108.geojson,,,,,automatic,0,62,ak,024d8dv108,",ak024d8dv108,",",ak,",",origin,phase-data,",,,0.44,,ml,earthquake,"M 2.0 - 72 km WNW of Ninilchik, Alaska",Point,-152.944,60.1937,130.7,1
0.8,"3 km N of Badger, Alaska",2024-10-14 05:39:46.703 Z,2024-10-14 05:41:54.854 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8dzkry,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8dzkry.geojson,,,,,automatic,0,10,ak,024d8dzkry,",ak024d8dzkry,",",ak,",",origin,phase-data,",,,0.3,,ml,earthquake,"M 0.8 - 3 km N of Badger, Alaska",Point,-147.5369,64.8304,16.2,1
0.8,"3 km N of Badger, Alaska",2024-10-14 05:39:46.703 Z,2024-10-14 05:41:54.854 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8dzkry,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8dzkry.geojson,,,,,automatic,0,10,ak,024d8dzkry,",ak024d8dzkry,",",ak,",",origin,phase-data,",,,0.3,,ml,earthquake,"M 0.8 - 3 km N of Badger, Alaska",Point,-147.5369,64.8304,16.2,2
1.9,"38 km ENE of Susitna North, Alaska",2024-10-14 06:23:14.596 Z,2024-10-14 06:25:30.390 Z,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024d8ehig3,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak024d8ehig3.geojson,,,,,automatic,0,56,ak,024d8ehig3,",ak024d8ehig3,",",ak,",",origin,phase-data,",,,0.42,,ml,earthquake,"M 1.9 - 38 km ENE of Susitna North, Alaska",Point,-149.1596,62.2795,32.1,1
